cycle,pangle,af,cmode
630,24.3,15.5758355,1.0,16.0
631,24.3333333,15.5680583,1.0,16.0
632,24.3666667,15.5602317,1.0,16.0
633,24.4,15.5523658,1.0,16.0
634,24.4333333,15.5444768,1.0,16.0
635,24.4666667,15.5365773,1.0,16.0
636,24.5,15.5286793,1.0,16.0
637,24.5333333,15.5207903,1.0,16.0
638,24.5666667,15.5129227,1.0,16.0
639,24.6,15.505087,1.0,16.0
640,24.6333333,15.4972899,1.0,16.0
641,24.6666667,15.4894865,1.0,16.0
642,24.7,15.4816545,1.0,16.0
643,24.7333333,15.4738058,1.0,16.0
644,24.7666667,15.4659527,1.0,16.0
645,24.8,15.4581038,1.0,16.0
646,24.8333333,15.4502684,1.0,16.0
647,24.8666667,15.4424598,1.0,16.0
648,24.9,15.4346869,1.0,16.0
649,24.9333333,15.426958,1.0,16.0
650,24.9666667,15.4192775,1.0,16.0
651,25.0,15.411629,1.0,16.0
652,25.0333333,15.4039386,1.0,16.0
653,25.0666667,15.3962035,1.0,16.0
654,25.1,15.3884327,1.0,16.0
655,25.1333333,15.3806421,1.0,16.0
656,25.1666667,15.3728441,1.0,16.0
657,25.2,15.36505,1.0,16.0
658,25.2333333,15.3572658,1.0,16.0
659,25.2666667,15.349504,1.0,16.0
660,25.3,15.3417747,1.0,16.0
661,25.3333333,15.3340834,1.0,16.0
662,25.3666667,15.3263877,1.0,16.0
663,25.4,15.3186691,1.0,16.0
664,25.4333333,15.3109403,1.0,16.0
665,25.4666667,15.3032127,1.0,16.0
666,25.5,15.2954942,1.0,16.0
667,25.5333333,15.2877942,1.0,16.0
668,25.5666667,15.2801223,1.0,16.0
669,25.6,15.2724854,1.0,16.0
670,25.6333333,15.2648943,1.0,16.0
671,25.6666667,15.2573545,1.0,16.0
672,25.7,15.2498437,1.0,16.0
673,25.7333333,15.2422868,1.0,16.0
674,25.7666667,15.2346887,1.0,16.0
675,25.8,15.2270596,1.0,16.0
676,25.8333333,15.2194135,1.0,16.0
677,25.8666667,15.2117586,1.0,16.0
